Year,MAX,MIN,MEAN,sample,STDDEV,RANGE
1,37.6,23.1,28.23,3,8.12,14.5
2,47.4,14.5,26.37,3,18.27,32.9
3,54.6,13.4,28.73,3,22.53,41.2
4,27.4,12.5,20.23,3,7.47,14.9
5,42.1,17.0,26.97,3,13.32,25.1
6,29.5,19.2,23.17,3,5.54,10.3
7,55.3,19.7,36.23,3,17.93,35.6
8,66.3,12.9,34.03,3,28.39,53.4
9,42.6,20.9,30.67,3,11.01,21.7
10,41.4,15.6,24.37,3,14.75,25.8
11,8.1,13.4,13.5,3,5.45,-5.3
12,37.4,25.6,30.37,3,6.22,11.8
13,14.4,12.2,13.6,3,1.22,2.2
14,60.9,34.8,48.5,3,13.1,26.1
15,47.1,17.3,29.03,3,15.88,29.8
16,4.3,11.6,16.43,3,15.14,-7.3
17,42.9,23.8,30.17,3,11.03,19.1
18,34.8,20.3,25.2,3,8.31,14.5
19,36.2,15.9,26.8,3,10.23,20.3
20,60.2,24.5,42.07,3,17.86,35.7
21,62.3,37.0,45.77,3,14.33,25.3
22,8.9,21.1,20.0,3,10.59,-12.2
23,38.9,21.2,31.53,3,9.22,17.7
24,9.7,30.1,15.93,3,12.3,-20.4
25,38.4,11.7,25.17,3,13.35,26.7
26,15.2,10.3,13.17,3,2.55,4.9
27,6.4,39.5,33.93,3,25.22,-33.1
