YR,MAX,MIN,sample,RANGE,LCL,UCL,R-Bar
" 50",26.8,22.0,12,4.8,0.9,5.45,3.17
" 51",27.2,26.3,12,0.9,0.9,5.45,3.17
" 52",30.0,26.2,12,3.8,0.9,5.45,3.17
" 53",31.0,28.5,12,2.5,0.9,5.45,3.17
" 54",29.5,28.1,12,1.4,0.9,5.45,3.17
" 55",33.4,30.2,12,3.2,0.9,5.45,3.17
" 56",34.6,32.0,12,2.6,0.9,5.45,3.17
" 57",34.8,32.2,12,2.6,0.9,5.45,3.17
" 58",33.9,30.0,12,3.9,0.9,5.45,3.17
" 59",37.0,34.4,12,2.6,0.9,5.45,3.17
" 60",37.9,34.6,12,3.3,0.9,5.45,3.17
" 61",39.0,34.6,12,4.4,0.9,5.45,3.17
" 62",40.3,38.6,12,1.7,0.9,5.45,3.17
" 63",43.2,40.6,12,2.6,0.9,5.45,3.17
" 64",46.9,43.5,12,3.4,0.9,5.45,3.17
" 65",51.5,47.5,12,4.0,0.9,5.45,3.17
" 66",55.1,52.0,12,3.1,0.9,5.45,3.17
" 67",56.9,54.1,12,2.8,0.9,5.45,3.17
" 68",59.5,56.8,12,2.7,0.9,5.45,3.17
" 69",61.3,59.9,12,1.4,0.9,5.45,3.17
" 70",59.5,57.0,12,2.5,0.9,5.45,3.17
" 71",61.4,58.6,12,2.8,0.9,5.45,3.17
" 72",68.6,62.7,12,5.9,0.9,5.45,3.17
" 73",72.0,68.7,12,3.3,0.9,5.45,3.17
" 74",70.8,65.2,12,5.6,0.9,5.45,3.17
" 75",66.1,61.3,12,4.8,0.9,5.45,3.17
" 76",72.0,66.8,12,5.2,0.9,5.45,3.17
" 77",76.3,72.4,12,3.9,0.9,5.45,3.17
" 78",82.0,75.7,12,6.3,0.9,5.45,3.17
" 79",82.6,81.5,12,1.1,0.9,5.45,3.17
" 80",81.9,76.8,12,5.1,0.9,5.45,3.17
" 81",82.6,78.9,12,3.7,0.9,5.45,3.17
" 82",79.3,74.1,12,5.2,0.9,5.45,3.17
" 83",83.4,75.5,12,7.9,0.9,5.45,3.17
" 84",87.5,85.0,12,2.5,0.9,5.45,3.17
" 85",89.0,86.9,12,2.1,0.9,5.45,3.17
" 86",90.8,88.1,12,2.7,0.9,5.45,3.17
" 87",95.9,90.2,12,5.7,0.9,5.45,3.17
" 88",99.3,95.9,12,3.4,0.9,5.45,3.17
" 89",99.8,100.0,12,-0.2,0.9,5.45,3.17
" 90",99.6,97.2,12,2.4,0.9,5.45,3.17
" 91",98.4,95.0,12,3.4,0.9,5.45,3.17
" 92",99.8,100.0,12,-0.2,0.9,5.45,3.17
" 93",105.7,102.4,12,3.3,0.9,5.45,3.17
" 47",22.3,21.4,12,0.9,0.9,5.45,3.17
" 48",23.0,22.3,12,0.7,0.9,5.45,3.17
" 49",22.2,20.7,12,1.5,0.9,5.45,3.17
