YR,MAX,MIN,MEAN,LCL,UCL
" 50",26.8,22.0,24.74,58.95,60.64
" 51",27.2,26.3,26.83,58.95,60.64
" 52",30.0,26.2,27.87,58.95,60.64
" 53",31.0,28.5,30.2,58.95,60.64
" 54",29.5,28.1,28.5,58.95,60.64
" 55",33.4,30.2,32.15,58.95,60.64
" 56",34.6,32.0,33.54,58.95,60.64
" 57",34.8,32.2,34.0,58.95,60.64
" 58",33.9,30.0,31.79,58.95,60.64
" 59",37.0,34.4,35.63,58.95,60.64
" 60",37.9,34.6,36.41,58.95,60.64
" 61",39.0,34.6,36.66,58.95,60.64
" 62",40.3,38.6,39.71,58.95,60.64
" 63",43.2,40.6,42.15,58.95,60.64
" 64",46.9,43.5,44.99,58.95,60.64
" 65",51.5,47.5,49.47,58.95,60.64
" 66",55.1,52.0,53.82,58.95,60.64
" 67",56.9,54.1,54.98,58.95,60.64
" 68",59.5,56.8,58.04,58.95,60.64
" 69",61.3,59.9,60.75,58.95,60.64
" 70",59.5,57.0,58.74,58.95,60.64
" 71",61.4,58.6,59.56,58.95,60.64
" 72",68.6,62.7,65.3,58.95,60.64
" 73",72.0,68.7,70.62,58.95,60.64
" 74",70.8,65.2,69.58,58.95,60.64
" 75",66.1,61.3,63.48,58.95,60.64
" 76",72.0,66.8,69.29,58.95,60.64
" 77",76.3,72.4,74.93,58.95,60.64
" 78",82.0,75.7,79.34,58.95,60.64
" 79",82.6,81.5,81.98,58.95,60.64
" 80",81.9,76.8,79.69,58.95,60.64
" 81",82.6,78.9,81.0,58.95,60.64
" 82",79.3,74.1,76.66,58.95,60.64
" 83",83.4,75.5,79.52,58.95,60.64
" 84",87.5,85.0,86.62,58.95,60.64
" 85",89.0,86.9,88.04,58.95,60.64
" 86",90.8,88.1,89.03,58.95,60.64
" 87",95.9,90.2,93.17,58.95,60.64
" 88",99.3,95.9,97.39,58.95,60.64
" 89",99.8,100.0,99.13,58.95,60.64
" 90",99.6,97.2,98.95,58.95,60.64
" 91",98.4,95.0,96.94,58.95,60.64
" 92",99.8,100.0,100.01,58.95,60.64
" 93",105.7,102.4,103.54,58.95,60.64
" 47",22.3,21.4,21.72,58.95,60.64
" 48",23.0,22.3,22.65,58.95,60.64
" 49",22.2,20.7,21.37,58.95,60.64
