Year,MAX,MIN,sample,LCL,UCL,Mean
1,37.6,23.1,3,11.08,43.75,27.41
2,47.4,14.5,3,11.08,43.75,27.41
3,54.6,13.4,3,11.08,43.75,27.41
4,27.4,12.5,3,11.08,43.75,27.41
5,42.1,17.0,3,11.08,43.75,27.41
6,29.5,19.2,3,11.08,43.75,27.41
7,55.3,19.7,3,11.08,43.75,27.41
8,66.3,12.9,3,11.08,43.75,27.41
9,42.6,20.9,3,11.08,43.75,27.41
10,41.4,15.6,3,11.08,43.75,27.41
11,8.1,13.4,3,11.08,43.75,27.41
12,37.4,25.6,3,11.08,43.75,27.41
13,14.4,12.2,3,11.08,43.75,27.41
14,60.9,34.8,3,11.08,43.75,27.41
15,47.1,17.3,3,11.08,43.75,27.41
16,4.3,11.6,3,11.08,43.75,27.41
17,42.9,23.8,3,11.08,43.75,27.41
18,34.8,20.3,3,11.08,43.75,27.41
19,36.2,15.9,3,11.08,43.75,27.41
20,60.2,24.5,3,11.08,43.75,27.41
21,62.3,37.0,3,11.08,43.75,27.41
22,8.9,21.1,3,11.08,43.75,27.41
23,38.9,21.2,3,11.08,43.75,27.41
24,9.7,30.1,3,11.08,43.75,27.41
25,38.4,11.7,3,11.08,43.75,27.41
26,15.2,10.3,3,11.08,43.75,27.41
27,6.4,39.5,3,11.08,43.75,27.41
